Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Технология программирования. Проектирование. Комплексное тестирование. Программная документация,Иванова Галина Сергеевна,Кнорус Бакалавриат,833,1572,47%,Ограничено
Компьютерная арифметика. Учебное пособие. СПО (+CD),Иорданский Михаил Анатольевич,Лань Компьютеры и программное обеспечение,779,1470,47%,На складе
Программирование. Практикум. Учебное пособие,Быкадорова Елена Анатольевна,Лань Компьютеры и программное обеспечение,369,697,47%,На складе
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие,"Иванько Александр Федорович, Иванько Михаил Александрович",Лань Компьютеры и программное обеспечение,506,955,47%,На складе
Распределенные системы,"Таненбаум Эндрю, Стин ван Мартен",ДМК-Пресс,2051,3869,47%,На складе
Основы алгоритмизации и программирования на PythonОсновы алгоритмизации и программирования на Python,Гуриков Сергей Ростиславович,Форум Высшее образование: Бакалавриат,2621,4945,47%,На складе
Android. Программирование для профессионалов,Филлипс Билл и др.,Питер Для профессионалов,2037,2612,22%,На складе
Алгебра и геометрия с примерами на Python. Учебное пособие,"Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич",Лань Компьютеры и программное обеспечение,3001,5663,47%,На складе
Организация и архитектура ЭВМ. Вычислительные системы. Учебное пособие,Журавлев Антон Евгеньевич,Лань Компьютеры и программное обеспечение,949,1791,47%,Ограничено
Корпоративные информационные системы. Администрирование сетевого домена. Учебное пособие,Журавлев Антон Евгеньевич и др.,Лань Компьютеры и программное обеспечение,1231,2322,47%,Ограничено
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М Среднее профессиональное образование,2081,3926,47%,На складе
Hello World! Программирование для детей и взрослых,"Сэнд Уоррен, Сэнд Картер",ДМК-Пресс,1230,2321,47%,На складе
Методология создания информационных систем. Учебное пособие,"Карминский Александр Маркович, Черников Борис Васильевич",ИНФРА-М Среднее профессиональное образование,1580,2981,47%,На складе
"Разработка бизнес-приложений на платформе ""1С: Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М Среднее профессиональное образование,1607,3033,47%,Ограничено
Время UNIX. A History and a Memoir,Керниган Брайан,Питер Библиотека программиста,1219,1563,22%,На складе
Проектирование информационных систем. Учебное пособие. СПО,Вейцман Владимир Моисеевич,Лань Компьютеры и программное обеспечение,1630,3076,47%,На складе
Создание сайтов на основе WordPress. Учебное пособие. СПО,Сергеев Алексей Николаевич,Лань Компьютеры и программное обеспечение,641,1210,47%,Ограничено
"Интеграция управления программой и системной инженерии. Методы, инструменты и организационные систем",Мицуфуджи Акио и др.,ДМК-Пресс,2051,3869,47%,На складе
Современный JavaScript для нетерпеливых,Хорстман Кэй С.,ДМК-Пресс,1230,2321,47%,На складе
Инфокоммуникационные системы. Учебник,"Журавлев Антон Евгеньевич, Макшанов Андрей Владимирович",Лань Компьютеры и программное обеспечение,2157,4069,47%,На складе
Инфокоммуникационные системы. Учебник,Журавлев Антон Евгеньевич и др.,Лань Компьютеры и программное обеспечение,2092,3947,47%,На складе
Программирование на Rust. Официальный гайд,"Клабник Стив, Николс Кэрол",Питер Для профессионалов,3129,4011,22%,На складе
Проектирование информационных систем. Учебное пособие,Коваленко Владимир Васильевич,Форум Высшее образование: Бакалавриат,1814,3422,47%,На складе
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений,Черный Борис,Питер Бестселлеры O`Reilly,1557,1996,22%,На складе
"Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services","Феррари Альберто, Руссо Марко",ДМК-Пресс,2734,5159,47%,На складе
Хаос-инжиниринг,"Розенталь Кейси, Джонс Нора",ДМК-Пресс,1367,2580,47%,На складе
Цифровая обработка сигналов на системном уровне с использованием LabVIEW,"Кехтарнаваз Насер, Ким Намджин",ДМК-Пресс,1230,2321,47%,Ограничено
Основы программирования. Учебник с практикумом,Макарова Наталья Владимировна и др.,Кнорус Среднее профессиональное образование,1250,2359,47%,Ограничено
"Дискретная оптимизация. Модели, методы, алгоритмы решения прикладных задач",Струченков Валерий Иванович,Солон-пресс Библиотека профессионала,507,956,47%,На складе
Спортивное программирование,"Халим Стивен, Халим Феникс",ДМК-Пресс,1914,3611,47%,На складе
Python и наука о данных для чайников,"Мюллер Джон Пол, Массарон Лука",Диалектика,2286,4313,47%,На складе
Криптография - наука о тайнописи. Учебное пособие,Фомичев Владимир Михайлович,Прометей,391,738,47%,На складе
Искусство тестирования программ,Сандлер Кори и др.,Диалектика,2987,5636,47%,На складе
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие,"Васильев Николай Павлович, Заяц Анатолий Моисеевич",Лань Учебники для вузов. Специальная литература,1489,2810,47%,Ограничено
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань Среднее профессиональное образование,550,1038,47%,Ограничено
Python для программирования криптовалют,Сонг Джимми,Диалектика,3481,6567,47%,На складе
Алгоритмы оптимизации,"Кохендерфер Майкл, Уилер Тим",Вильямс,4472,8438,47%,Ограничено
"Мифический человеко-месяц, или Как создаются программные системы",Брукс Фредерик,Питер Библиотека программиста,1565,2007,22%,На складе
"Разработка приложений на С++ с использованием Boost. Рецепты, упрощающие разработку вашего приложени",Полухин Антон,ДМК-Пресс,1367,2580,47%,На складе
Введение в язык Pascal. Учебное пособие,Абрамов Владимир Геннадьевич и др.,Кнорус Среднее профессиональное образование,1041,1965,47%,На складе
Ловушка для багов. Полевое руководство по веб-хакингу,Яворски Питер,Питер Библиотека программиста,1558,1997,22%,На складе
Программирование квантовых компьютеров. Базовые алгоритмы и примеры кода,Химено-Сеговиа Мерседес и др.,Питер Бестселлеры O`Reilly,1572,2016,22%,На складе
Разработка и реализац.портальн.решений: Практикум,"Лукьянов Павел Борисович, Маркова Светлана Владимировна",Прометей,534,1008,47%,Ограничено
Транспортная логистика (линейное программирование). Учебное пособие,Пашков Николай Николаевич,Прометей,611,1152,47%,На складе
Генетические алгоритмы на Python,Вирсански Эйял,ДМК-Пресс,1367,2580,47%,На складе
C#. Основы программирования. Учебное пособие,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань Учебники для вузов. Специальная литература,1740,3283,47%,На складе
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань Учебники для вузов. Специальная литература,1039,1960,47%,На складе
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань Учебники для вузов. Специальная литература,670,1264,47%,На складе
Обработка естественного языка в действии,Хобсон Лейн и др.,Питер Для профессионалов,2675,3429,22%,На складе
"Golang для профи. Работа с сетью, многопоточность, структуры данных и машинное обучение с Go",Цукалос Михалис,Питер Для профессионалов,4054,5198,22%,На складе
Программируем с PyTorch. Создание приложений глубокого обучения,Пойтнер Ян,Питер Бестселлеры O`Reilly,1509,1934,22%,Ограничено
Эффективный TypeScript. 62 способа улучшить код,Вандеркам Дэн,Питер Бестселлеры O`Reilly,1571,2014,22%,На складе
Istio. Приступаем к работе,"Калькот Ли, Бутчер Зак",ДМК-Пресс,1367,2580,47%,На складе
Апокалипсис криптографии. Подготовка к криптовалютным вычислениям,Граймс Роджер А.,ДМК-Пресс,1230,2321,47%,На складе
Проектирование веб-API,Лоре Арно,ДМК-Пресс,1367,2580,47%,На складе
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,Бомбора Российский компьютерный бестселлер,1296,1775,27%,На складе
Глубокое обучение в картинках. Визуальный гид по искусственному интеллекту,Крон Джон и др.,Питер Библиотека программиста,1557,1996,22%,На складе
Глубокое обучение с подкреплением. AlphaGo и другие технологии,Лапань Максим,Питер Для профессионалов,2466,3162,22%,На складе
Spring Boot 2. Лучшие практики для профессионалов,Гутьеррес Фелипе,Питер Библиотека программиста,2493,3196,22%,На складе
"Python. Искусственный интеллект, большие данные и облачные вычисления","Дейтел Пол Дж., Дейтел Харви",Питер Для профессионалов,3143,4029,22%,На складе
Эволюционные нейросети на языке Python,Омельяненко Ярослав,ДМК-Пресс,1367,2580,47%,На складе
Алгоритмы обучения с подкреплением на Python,Лонца Андреа,ДМК-Пресс,1367,2580,47%,На складе
Цифровой синтез. Практический курс,Романов А. Ю. и др.,ДМК-Пресс,1778,3354,47%,На складе
Системное программирование. Лабораторные работы. Учебное пособие,Жулабова Фатима Тахировна,Лань Учебники для вузов. Специальная литература,814,1535,47%,На складе
Криптография и взлом шифров на Python,Свейгарт Эл,Диалектика,2107,3976,47%,На складе
Программист-прагматик,"Томас Дэвид, Хант Эндрю",Диалектика,2981,5625,47%,На складе
Учимся программировать с примерами на Python,Фримен Эрик,Диалектика Head First,2749,5186,47%,На складе
Параллельное программирование на C++ с помощью библиотеки TBB,Восс Майкл и др.,ДМК-Пресс,2051,3869,47%,На складе
Предметно-ориентированное проектирование в Enterprise Java,Наир Виджей,ДМК-Пресс,1367,2580,47%,На складе
Генеративное глубокое обучение. Творческий потенциал нейронных сетей,Фостер Дэвид,Питер Бестселлеры O`Reilly,2086,2674,22%,На складе
Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel,"Феррари Альберто, Руссо Марко",ДМК-Пресс,1367,2580,47%,На складе
Распределенные системы реального времени. Теория и практика,Эрджиес Кайхан,ДМК-Пресс,1640,3095,47%,На складе
Программирование на Python. Базовый курс,Седжвик Роберт и др.,Вильямс,2286,4313,47%,На складе
Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android,"Льюис Шон, Данн Майк",ДМК-Пресс,1367,2580,47%,На складе
Паттерны объектно-ориентированного проектирования,Гамма Э. и др.,Питер Библиотека программиста,942,1208,22%,На складе
Применение пакета MATLAB и SIMULINK для анализа электрических цепей. Том 1,Фриск Валерий Владимирович и др.,Солон-пресс Библиотека студента,821,1549,47%,На складе
Управление памятью в .NET для профессионалов,Кокоса Конрад,ДМК-Пресс,2599,4903,47%,На складе
Исследование операций и методы оптимизации. Учебное пособие,"Болотский Александр Владимирович, Кочеткова Ольга Анатольевна",Лань Учебники для вузов. Специальная литература,376,710,47%,На складе
Веб-компоненты в действии,Фаррелл Бен,ДМК-Пресс,1504,2837,47%,На складе
Машинное обучение на R: экспертные техники для прогностического анализа,Ланц Бретт,Питер Библиотека программиста,2666,3418,22%,На складе
Head First. Изучаем Go,Макгаврен Джей,Питер Head First (O'Reilly),2828,3626,22%,На складе
Глубокое обучение. Погружение в мир нейронных сетей,Николенко С. и др.,Питер Библиотека программиста,1346,1725,22%,На складе
Архитектура компьютерных систем. Курс лекций. Учебное пособие,Белугина Светлана Викторовна,Лань Учебники для вузов. Специальная литература,782,1475,47%,Ограничено
Разработка программных модулей программного обеспечения для компьютерных систем,Белугина Светлана Викторовна,Лань Учебники для вузов. Специальная литература,1448,2733,47%,Ограничено
Принципы разработки программных пакетов. Проектирование повторно используемых компонентов,Нобак Маттиас,ДМК-Пресс,1230,2321,47%,На складе
Основы программирования информационного контента. Учебное пособие,"Быкадорова Елена Анатольевна, Синявская Оксана Николаевна",Лань Учебники для вузов. Специальная литература,474,895,47%,На складе
Численные методы. Учебник,Слабнов Виктор Дмитриевич,Лань Учебники для вузов. Специальная литература,1896,3577,47%,На складе
Введение в глубокое обучение,Черняк Евгений,Вильямс,1100,2075,47%,Ограничено
Машинное обучение без лишних слов,Бурков Андрей,Питер Библиотека программиста,1275,1635,22%,На складе
Легкий способ выучить Python 3 еще глубже,Шоу Зед А.,Эксмо-Пресс Мировой компьютерный бестселлер (обложка),856,1172,27%,На складе
Практикум по численным методам в вычислительных средах matlab и mathcad. Учебное пособие,"Бастрон Алевтина Алексеевна, Охапкина Елена Павловна",РГГУ,377,712,47%,На складе
Программирование на языке Пролог для задач искусственного интеллекта. Введение в логическое программ,Ефимова Елена Анатольевна,РГГУ,588,1110,47%,На складе
Информационные системы и программирование. Специалист по информационным системам. Выпускная квалифик,Логачев Максим Сергеевич,ИНФРА-М Среднее профессиональное образование,2693,5081,47%,На складе
Совершенный алгоритм. Жадные алгоритмы и динамическое программирование,Рафгарден Тим,Питер Библиотека программиста,1385,1776,22%,На складе
SCALA для нетерпеливых,Хостманн Кей,ДМК-Пресс Функциональное программирование,1025,1934,47%,На складе
Обучение с подкреплением,"Саттон Ричард С., Барто Эндрю Г.",ДМК-Пресс,2599,4903,47%,На складе
Рекомендательные системы на практике,Фальк Ким,ДМК-Пресс,1367,2580,47%,На складе
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе,Заметти Франк,ДМК-Пресс,1230,2321,47%,На складе
Java Concurrency на практике,Гетц Брайан и др.,Питер Для профессионалов,1557,1996,22%,На складе
C# 8.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1100,2075,47%,Ограничено
Введение в информационный поиск,Маннинг Кристофер Д. и др.,Вильямс,4472,8438,47%,На складе
Нейронные сети и глубокое обучение. Учебный курс,Аггарвал Чару,Вильямс,4122,7778,47%,На складе
"Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство",Дейли Брэд и др.,Вильямс,3481,6567,47%,Ограничено
Разработка игр на Unity 2018 за 24 часа,Гейг Майк,Бомбора Мировой компьютерный бестселлер,1731,2371,27%,На складе
"R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации","Лонг Дж. Д., Титор Пол",ДМК-Пресс,2187,4127,47%,На складе
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j,"Нидхем Марк, Ходлер Эми",ДМК-Пресс,1367,2580,47%,На складе
Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун,Чукич Иван,ДМК-Пресс,1367,2580,47%,На складе
Теория автоматического управления (с использованием MATLAB-SIMULINK). Практикум. Учебное пособие,Пащенко Федор Федорович и др.,Лань Учебники для вузов. Специальная литература,1229,2318,47%,На складе
Python. Непрерывная интеграция и доставка,Ленц Мориц,ДМК-Пресс,751,1417,47%,На складе
Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл,Тоуманнен Бриан,ДМК-Пресс,1230,2321,47%,На складе
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер Библиотека программиста,1510,1936,22%,На складе
Laravel. Полное руководство,Стаффер Мэтт,Питер Бестселлеры O`Reilly,1952,2502,22%,На складе
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,Хорстманн Кей С.,Вильямс,4472,8438,47%,На складе
Изучаем Python. Том 2,Лутц Марк,Вильямс,3481,6567,47%,На складе
Волшебство Kotlin,Симон Пьер-Ив,ДМК-Пресс,1640,3095,47%,На складе
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие,"Карпов Дмитрий Анатольевич, Струченков Валерий Иванович",Солон-пресс Библиотека профессионала,484,913,47%,На складе
Обработка естественного языка с TensorFlow,Ганегедара Тушан,ДМК-Пресс,1640,3095,47%,На складе
Информационные системы и программирование. Администратор баз данных. Учебник,Логачев Максим Сергеевич,ИНФРА-М Среднее профессиональное образование,2061,3888,47%,На складе
Программное обеспечение компьютерных сетей. Учебное пособие,Исаченко Олег Вячеславович,ИНФРА-М Среднее профессиональное образование,825,1556,47%,На складе
Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики,"Гартман Томаш Николаевич, Клушин Дмитрий Витальевич",Лань Учебники для вузов. Специальная литература,2184,4120,47%,На складе
Клиентские технологии веб-программирования: JavaScript и DOM,Диков Андрей Валентинович,Лань Учебники для вузов. Специальная литература,904,1706,47%,На складе
Основы глубокого обучения. Создание алгоритмов для искусственного интеллекта следующего поколения,Будума Нихиль,"Манн, Иванов и Фербер",1800,2466,27%,На складе
Алгоритмы. Вводный курс,Кормен Томас,Вильямс,1374,2592,47%,На складе
Программирование встроенных систем на С++ 17. Создание универсальных и надежных встроенных решений,Пошевай Майа,ДМК-Пресс,1367,2580,47%,На складе
ELIXIR в действии,Юрич Саша,ДМК-Пресс,1640,3095,47%,На складе
Глубокое обучение для поисковых систем,Теофили Томмазо,ДМК-Пресс,1367,2580,47%,На складе
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М Высшее образование. Бакалавриат,1786,3370,47%,На складе
HTML и CSS. Разработка и дизайн веб-сайтов,Дакетт Джон,Эксмо Мировой компьютерный бестселлер,1818,2491,27%,На складе
Байесовский анализ на Python,Мартин Освальдо,ДМК-Пресс,1230,2321,47%,Ограничено
Состязательные сети. Проекты,Ахирвар Кайлаш,ДМК-Пресс,1230,2321,47%,На складе
JavaFX,Прохоренок Николай Анатольевич,BHV В подлиннике,1014,1913,47%,Ограничено
Основы программирования на языке С. Учебное пособие,"Дорогов Виктор Георгиевич, Дорогова Екатерина Георгиевна",Форум Среднее профессиональное образование,1058,1996,47%,На складе
Программирование на языке Си. Учебное пособие,"Кузин Александр Владимирович, Чумакова Екатерина Витальевна",Форум Среднее профессиональное образование,879,1659,47%,На складе
Разработка мобильных приложений на C# для iOS и Android,Черников Вячеслав,ДМК-Пресс,1094,2064,47%,На складе
C. Полное руководство. Классическое издание,Шилдт Герберт,Диалектика,4472,8438,47%,На складе
NGINX. Книга рецептов. Продвинутые рецепты высокопроизводительной   балансировки нагрузки,Де Йонге Дерек,ДМК-Пресс,820,1547,47%,На складе
Как стать хакером,Притяну Эдриан,ДМК-Пресс,1230,2321,47%,На складе
Шаблоны проектирования для облачной среды,Дэвис Корнелия,ДМК-Пресс,1367,2580,47%,На складе
Введение в архитектуру программного обеспечения. Учебное пособие,Гагарина Лариса Геннадьевна и др.,Форум Среднее профессиональное образование,1498,2826,47%,На складе
Архитекторы интеллекта. Вся правда об искусственном интеллекте от его создателей,Форд Мартин,Питер Библиотека программиста,1143,1466,22%,На складе
Глубокое обучение и игра в го,"Памперла Макс, Фергюсон Кевин",ДМК-Пресс,1778,3354,47%,На складе
Разработка игр на Unreal Engine 4 за 24 часа,Куксон Арам и др.,Бомбора Мировой компьютерный бестселлер,2078,2846,27%,На складе
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань Учебники для вузов. Специальная литература,833,1572,47%,На складе
Квантовые вычисления для настоящих айтишников,Бернхард Крис,Питер Библиотека программиста,1115,1430,22%,На складе
VHDL. Справочное пособие по основам языка,Бабак В. П. и др.,ДМК-Пресс Программируемые системы,683,1289,47%,На складе
1400 задач по программированию,Златопольский Дмитрий Михайлович,ДМК-Пресс,415,783,47%,На складе
Бессерверные приложения на JavaScipt,"Стоянович Слободан, Симович Александар",ДМК-Пресс,1447,2730,47%,На складе
Head First. Kotlin,"Гриффитс Дэвид, Гриффитс Дон",Питер Head First (O'Reilly),2416,3098,22%,На складе
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань Учебники для вузов. Специальная литература,1531,2889,47%,Ограничено
Программирование в среде Delphi. Создание проектов. Учебное пособие,Саблукова Наталья Геннадьевна,Лань Учебники для вузов. Специальная литература,246,464,47%,Ограничено
Основы алгоритмизации и программирования на языке Microsoft Visual Basic. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М Среднее профессиональное образование,2734,5159,47%,На складе
MATLAB 6.5 SP1/7/7 SP1/7 SP2 + Simulink 5/6. Инструменты искусственного интеллекта и биоинформатики,"Дьяконов Владимир Павлович, Круглов Владимир Васильевич",Солон-пресс Библиотека профессионала,1217,2297,47%,На складе
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс Библиотека студента,264,498,47%,На складе
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB,,Солон-пресс Библиотека студента,416,784,47%,На складе
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс Библиотека студента,173,327,47%,На складе
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB,,Солон-пресс Библиотека студента,416,784,47%,На складе
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс Библиотека студента,585,1103,47%,На складе
Компьютерный анализ четырехполюсников с помощью MATLAB,,Солон-пресс Библиотека студента,232,438,47%,Ограничено
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс Библиотека студента,487,918,47%,На складе
Компьютерный спектральный анализ сигналов с помощью MATLAB,,Солон-пресс Библиотека студента,219,414,47%,На складе
Глубокое обучение в биологии и медицине,Рамсундар Бхарат и др.,ДМК-Пресс,957,1806,47%,Ограничено
"Современный язык Java. Лямбда-выражения, потоки и функциональное программирование",Урма Рауль-Габриэль и др.,Питер Для профессионалов,2101,2693,22%,На складе
Программирование на языке высокого уровня. Программирование на языке Object Pascal. Учебное пособие,Немцова Тамара Игоревна и др.,Форум Высшее образование: Бакалавриат,2322,4381,47%,На складе
Математическое программирование. Учебное пособие,Ржевский Сергей Владимирович,Лань Учебники для вузов. Специальная литература,2009,3791,47%,Ограничено
Практика нейросетевого моделирования. Учебное пособие,"Хливненко Любовь Владимировна, Пятакович Феликс Андреевич",Лань Учебники для вузов. Специальная литература,1318,2487,47%,Ограничено
Python и анализ данных,Маккини Уэс,ДМК-Пресс,1845,3482,47%,На складе
Алгоритмы эволюционной оптимизации,Саймон Дэн,ДМК-Пресс,2734,5159,47%,На складе
"Прикладные задачи оптимизации. Модели, методы, алгоритмы",Струченков Валерий Иванович,Солон-пресс Библиотека профессионала,616,1163,47%,На складе
Машинный интеллект. Очерки по теории машинного обучения и искусственного интеллекта,Шумский Сергей Александрович,РИОР Наука и практика,1786,3370,47%,На складе
C#. Программирование 2D и 3D векторной графики (+CD),"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань Учебники для вузов. Специальная литература,1464,2762,47%,На складе
Клиентские технологии веб-дизайна. HTML5 и CSS3. Учебное пособие,Диков Андрей Валентинович,Лань Учебники для вузов. Специальная литература,1062,2003,47%,На складе
Технология разработки программного обеспечения. Учебное пособие,Зубкова Татьяна Михайловна,Лань Учебники для вузов. Специальная литература,1676,3162,47%,На складе
C++ за 21 день,Рао Сиддхартха,Диалектика,3481,6567,47%,На складе
Рефакторинг с использованием шаблонов,Кериевски Джошуа,Диалектика,2020,3811,47%,Ограничено
Docker на практике,"Миллан Иан, Сейерс Эйдан Хобсон",ДМК-Пресс,1914,3611,47%,На складе
Swift подробно,Чейрд Инт Вейн,ДМК-Пресс,1914,3611,47%,На складе
Java. Справочник разработчика,"Эванс Бенджамин, Флэнаган Дэвид",Вильямс,2749,5186,47%,На складе
Компьютерное моделирование полупроводниковых систем в MatLab 6.0. Учебное пособие,Герман-Галкин Сергей Германович,Корона-Принт Учебное пособие,342,645,47%,На складе
Идиомы и паттерны проектирования в современном С++,Пикус Федор Г.,ДМК-Пресс,1504,2837,47%,На складе
Основы тестирования и верификации программного обеспечения,Старолетов Сергей Михайлович,Лань Учебники для вузов. Специальная литература,1843,3477,47%,На складе
Изучаем Python. Том 1,Лутц Марк,Диалектика,3776,7125,47%,На складе
Рефакторинг кода на JavaScript. Улучшение проекта существующего кода,Фаулер Мартин,Вильямс,4122,7778,47%,Ограничено
Язык программирования Python: практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М Среднее профессиональное образование,1127,2126,47%,На складе
Машинное обучение и безопасность. Защита систем с помощью данных и алгоритмов,"Чио Кларенс, Фримэн Дэвид",ДМК-Пресс,1299,2450,47%,На складе
Разработка интеллектуальных систем. Введение в технологию машинного обучения,Хултен Джефф,ДМК-Пресс,1230,2321,47%,На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань Учебники для вузов. Специальная литература,1026,1936,47%,Ограничено
"PHP: объекты, шаблоны и методики программирования",Зандстра Мэтт,Вильямс,1988,3750,47%,На складе
Экстремальное программирование. Разработка через тестирование,Бек Кент,Питер Библиотека программиста,1104,1416,22%,На складе
Объектно-ориентированное программирование с примерами на C#. Учебное пособие,Хорев Павел Борисович,Форум Среднее профессиональное образование,1292,2437,47%,На складе
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс Библиотека студента,264,498,47%,На складе
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие,,Солон-пресс Библиотека студента,559,1055,47%,На складе
Программирование. Сборник задач. Учебное пособие,Архипов Олег Григорьевич и др.,Лань Учебники для вузов. Специальная литература,1005,1896,47%,На складе
Python. Книга Рецептов,"Бизли Дэвид, Джонс Брайан К.",ДМК-Пресс,2187,4127,47%,На складе
Глубокое обучение с подкреплением на Python. OpenAI Gym и TensorFlow для профи,Равичандиран Судхарсан,Питер Библиотека программиста,1357,1740,22%,На складе
Грокаем глубокое обучение,Траск Эндрю,Питер Библиотека программиста,1099,1409,22%,На складе
Практика реактивного программирования в SPRING 5,"Докука Олег, Лозинский Игорь",ДМК-Пресс,2051,3869,47%,На складе
Как программировать на С,"Дейтел Харви, Дейтел Пол Дж.",Бином,1075,2028,47%,На складе
Нейросетевые методы в обработке естественного языка,Гольдберг Йоав,ДМК-Пресс,1640,3095,47%,На складе
Предиктивное моделирование на практике,"Кун Макс, Джонсон Кьелл",Питер Для профессионалов,2501,3206,22%,На складе
Микросервисы. Паттерны разработки и рефакторинга,Ричардсон Крис,Питер Библиотека программиста,1949,2499,22%,На складе
Выразительный JavaScript. Современное веб-программирование,Хавербеке Марейн,Питер Для профессионалов,2012,2580,22%,На складе
"Системы счисления, алгоритмизация и программирование. Учебное пособие",Игнашева Елена Петровна,ИНФРА-М Военное образование,1127,2126,47%,Ограничено
Объектно-ориентированное программирование. Учебник,Барков Игорь Александрович,Лань Учебники для вузов. Специальная литература,3126,5898,47%,На складе
Практическое введение в программную инженерию. Учебное пособие,Волк Владимир Константинович,Лань Учебники для вузов. Специальная литература,911,1719,47%,Ограничено
Проектирование цифровых устройств на ПЛИС. Учебное пособие,Ушенина Инна Владимировна,Лань Учебники для вузов. Специальная литература,1518,2865,47%,Ограничено
Введение в технологии контейнеров и Kubernetes,Маркелов Андрей Александрович,ДМК-Пресс,820,1547,47%,На складе
C# для чайников,Мюллер Джон Пол и др.,"Диалектика Для ""чайников""",2107,3976,47%,На складе
Логическое проектирование и верификация систем на SystemVerilog,Дональд Томас,ДМК-Пресс,1367,2580,47%,На складе
Глубокое обучение. Готовые решения,Осинга Давид,Диалектика,734,1384,47%,Ограничено
Изучаем TypeScript 3,Розенталс Натан,ДМК-Пресс,1914,3611,47%,На складе
Введение в веб-разработку на языке JavaScript. Учебное пособие,Государев Илья Борисович,Лань Учебники для вузов. Специальная литература,1145,2160,47%,Ограничено
Программирование компьютерной графики,Боресков Алексей Викторович,ДМК-Пресс,1162,2192,47%,На складе
Высокопроизводительный код на платформе .NET,Уотсон Бен,Питер Для профессионалов,1977,2534,22%,На складе
Совершенный алгоритм. Графовые алгоритмы и структуры данных,Рафгарден Тим,Питер Библиотека программиста,1258,1613,22%,На складе
{Вы не знаете JS} Асинхронная обработка и оптимизация,Симпсон Кайл,Питер Бестселлеры O`Reilly,1211,1553,22%,На складе
{Вы не знаете JS} Замыкания и объекты,Симпсон Кайл,Питер Бестселлеры O`Reilly,1212,1554,22%,На складе
{Вы не знаете JS} Типы и грамматические конструкции,Симпсон Кайл,Питер Бестселлеры O`Reilly,1101,1412,22%,На складе
Основы теории вейвлетов. Вейвлеты в Matlab,Смоленцев Николай Константинович,ДМК-Пресс Все о вейвлетах,1367,2580,47%,На складе
Изучение сложных систем с помощью Python,Дауни Аллен Б.,ДМК-Пресс,751,1417,47%,На складе
Вероятностное программирование на Python. Байесовский вывод и алгоритмы,Дэвидсон-Пайлон Кэмерон,Питер Библиотека программиста,1763,2260,22%,На складе
